Data,BoscoC,Legnago,SBonifacio,BgoMilano,Giarol,GiarolPM25
01/01/2020,11,91,97,82,79,63
02/01/2020,6,74,72,62,56,43
03/01/2020,11,83,79,80,71,59
04/01/2020,5,66,76,55,47,36
05/01/2020,11,52,57,41,39,34
06/01/2020,15,41,52,44,25,16
07/01/2020,25,53,86,99,85,69
08/01/2020,11,36,67,56,58,39
09/01/2020,12,44,62,66,61,40
10/01/2020,17,64,99,94,85,66
11/01/2020,10,78,88,71,57,40
12/01/2020,12,43,40,34,27,20
13/01/2020,15,55,58,55,40,33
14/01/2020,28,73,86,77,79,59
15/01/2020,,89,101,81,84,66
16/01/2020,25,91,96,81,71,52
17/01/2020,8,69,83,56,64,44
18/01/2020,11,43,38,36,32,27
19/01/2020,6,22,20,25,10,2
20/01/2020,6,18,29,26,12,4
21/01/2020,14,35,43,45,51,35
22/01/2020,13,54,76,63,73,48
23/01/2020,17,61,63,57,57,41
24/01/2020,21,83,75,74,70,58
25/01/2020,33,85,80,63,66,57
26/01/2020,17,88,79,71,71,57
27/01/2020,19,60,63,71,73,52
28/01/2020,10,77,57,57,57,48
29/01/2020,7,53,63,41,33,22
30/01/2020,19,47,72,67,57,37
31/01/2020,30,71,76,85,72,53
01/02/2020,50,85,83,76,81,68
02/02/2020,22,74,84,82,77,59
03/02/2020,31,56,67,71,71,48
04/02/2020,19,35,32,34,28,12
05/02/2020,2,11,12,18,9,5
06/02/2020,7,21,22,32,24,14
07/02/2020,15,38,51,51,40,29
08/02/2020,25,55,49,62,47,27
09/02/2020,44,74,69,70,70,59
10/02/2020,11,74,96,75,78,69
11/02/2020,16,56,66,36,36,29
12/02/2020,13,46,67,39,37,29
13/02/2020,17,44,46,41,44,33
14/02/2020,7,43,44,42,21,18
15/02/2020,16,47,46,49,37,27
16/02/2020,41,47,58,60,58,50
17/02/2020,42,73,81,90,81,72
18/02/2020,16,70,83,76,70,58
19/02/2020,20,49,57,46,47,35
20/02/2020,9,26,30,31,18,10
21/02/2020,27,33,47,50,36,30
22/02/2020,21,46,42,51,35,26
23/02/2020,38,75,75,71,71,60
24/02/2020,48,78,72,68,58,48
25/02/2020,47,76,79,76,80,66
26/02/2020,25,51,61,39,34,22
27/02/2020,5,16,,19,21,11
28/02/2020,9,18,31,27,16,10
29/02/2020,15,26,29,36,34,27
01/03/2020,6,22,15,20,24,13
02/03/2020,5,34,22,20,23,20
03/03/2020,4,13,13,10,6,6
04/03/2020,6,12,16,15,6,6
05/03/2020,9,20,14,20,21,10
06/03/2020,9,14,13,27,23,23
07/03/2020,17,35,37,31,22,15
08/03/2020,6,8,9,18,8,5
09/03/2020,15,26,27,39,28,24
10/03/2020,11,27,54,54,39,35
11/03/2020,37,58,65,58,53,41
12/03/2020,,71,78,72,62,55
13/03/2020,35,61,98,72,72,60
14/03/2020,6,18,15,17,5,2
15/03/2020,6,13,14,17,8,8
16/03/2020,16,23,19,37,22,15
17/03/2020,31,36,,49,43,26
18/03/2020,21,44,51,55,61,36
19/03/2020,16,49,37,42,,28
20/03/2020,26,42,47,41,33,27
21/03/2020,35,46,46,46,51,39
22/03/2020,16,20,23,19,10,6
23/03/2020,9,13,10,19,14,2
24/03/2020,12,20,15,23,19,6
25/03/2020,12,17,23,20,18,12
26/03/2020,10,14,17,18,26,17
27/03/2020,29,71,,41,45,
28/03/2020,105,109,133,111,125,
29/03/2020,67,117,185,90,101,
30/03/2020,29,50,47,35,30,
31/03/2020,8,10,9,15,7,2
01/04/2020,12,17,41,21,20,11
02/04/2020,17,26,29,37,27,20
03/04/2020,28,35,39,40,18,24
04/04/2020,25,41,40,41,37,26
05/04/2020,18,24,26,21,19,11
06/04/2020,23,29,43,32,31,18
07/04/2020,23,30,31,32,28,20
08/04/2020,14,22,23,24,22,12
09/04/2020,15,24,27,27,33,20
10/04/2020,16,33,29,31,30,13
11/04/2020,21,38,34,29,40,28
12/04/2020,16,29,72,23,29,21
13/04/2020,16,26,26,22,22,20
14/04/2020,25,25,22,32,30,15
15/04/2020,15,13,48,23,18,12
16/04/2020,10,19,30,29,28,15
17/04/2020,31,26,32,39,34,19
18/04/2020,28,28,33,31,39,20
19/04/2020,25,22,29,25,36,21
20/04/2020,11,16,16,15,16,8
21/04/2020,13,18,,20,17,7
22/04/2020,,15,18,23,24,10
23/04/2020,22,27,24,29,31,20
24/04/2020,28,38,35,36,41,5
25/04/2020,25,24,64,23,27,20
26/04/2020,,21,23,21,29,20
27/04/2020,,22,24,25,35,20
28/04/2020,17,18,22,18,31,19
29/04/2020,2,13,9,12,7,5
30/04/2020,5,14,8,12,15,9
01/05/2020,7,10,11,12,8,7
02/05/2020,10,16,14,17,15,10
03/05/2020,8,7,5,12,8,2
04/05/2020,8,9,6,15,14,6
05/05/2020,17,17,17,23,29,16
06/05/2020,15,17,18,21,16,2
07/05/2020,12,19,17,18,25,7
08/05/2020,19,25,21,27,28,10
09/05/2020,20,16,20,26,35,15
10/05/2020,17,20,20,19,29,13
11/05/2020,8,10,11,10,15,4
12/05/2020,8,16,13,11,8,2
13/05/2020,7,12,10,15,10,2
14/05/2020,17,21,22,23,25,12
15/05/2020,10,18,14,17,7,2
16/05/2020,8,16,16,16,15,6
17/05/2020,9,16,19,15,18,9
18/05/2020,18,19,21,25,22,10
19/05/2020,13,22,25,22,21,10
20/05/2020,15,20,16,19,19,11
21/05/2020,15,15,18,19,16,4
22/05/2020,14,17,24,23,24,10
23/05/2020,22,23,22,30,32,18
24/05/2020,8,11,9,14,5,2
25/05/2020,7,10,13,18,12,5
26/05/2020,10,13,13,16,22,5
27/05/2020,10,10,8,23,22,8
28/05/2020,11,16,13,19,29,9
29/05/2020,7,10,6,13,12,2
30/05/2020,11,13,7,15,21,9
31/05/2020,8,10,2,10,12,7
01/06/2020,12,11,2,14,19,8
02/06/2020,12,16,4,15,25,11
03/06/2020,11,,,14,25,7
04/06/2020,5,12,2,8,17,12
05/06/2020,6,10,2,8,2,2
06/06/2020,11,17,,16,20,11
07/06/2020,8,14,,15,13,
08/06/2020,2,8,,12,2,
09/06/2020,5,8,8,14,12,2
10/06/2020,6,11,,17,16,7
11/06/2020,5,12,,16,5,2
12/06/2020,8,13,11,16,9,5
13/06/2020,12,14,15,18,21,11
14/06/2020,9,14,11,12,13,9
15/06/2020,9,14,13,13,17,10
16/06/2020,2,13,11,13,19,2
17/06/2020,8,10,11,15,14,8
18/06/2020,8,10,9,17,20,8
19/06/2020,10,11,10,16,15,7
20/06/2020,5,11,6,14,10,6
21/06/2020,5,12,7,15,15,2
22/06/2020,8,19,,17,18,8
23/06/2020,9,18,13,24,18,7
24/06/2020,15,18,13,25,23,10
25/06/2020,16,19,16,21,25,13
26/06/2020,13,18,12,17,21,16
27/06/2020,17,26,16,20,25,16
28/06/2020,16,30,16,23,18,16
29/06/2020,18,25,14,20,26,17
30/06/2020,14,25,14,19,21,13
01/07/2020,17,32,16,24,32,21
02/07/2020,9,17,,16,18,12
03/07/2020,4,2,8,13,13,6
04/07/2020,8,6,9,15,12,2
05/07/2020,12,17,14,20,21,15
06/07/2020,12,20,16,24,25,20
07/07/2020,8,7,10,14,15,7
08/07/2020,13,16,13,19,20,10
09/07/2020,19,21,20,24,26,15
10/07/2020,21,26,23,27,33,17
11/07/2020,15,23,,21,29,16
12/07/2020,6,2,,10,11,2
13/07/2020,7,8,,14,13,8
14/07/2020,8,12,13,17,17,9
15/07/2020,11,18,15,20,20,13
16/07/2020,16,21,20,22,28,19
17/07/2020,8,12,9,16,17,16
18/07/2020,5,2,7,11,13,7
19/07/2020,8,10,9,11,15,11
20/07/2020,13,14,13,19,15,15
21/07/2020,15,19,,23,25,17
22/07/2020,14,24,31,21,32,
23/07/2020,12,17,18,16,19,
24/07/2020,6,,10,11,12,6
25/07/2020,7,,11,14,12,7
26/07/2020,8,,13,15,16,9
27/07/2020,14,,17,19,21,16
28/07/2020,18,,21,25,27,18
29/07/2020,20,22,,27,39,25
30/07/2020,22,47,,31,36,25
31/07/2020,21,41,24,30,36,22
01/08/2020,22,37,34,32,43,29
02/08/2020,8,21,15,14,16,
03/08/2020,5,2,10,12,18,10
04/08/2020,2,,8,12,14,
05/08/2020,,2,8,12,7,
06/08/2020,4,13,11,17,17,
07/08/2020,10,17,14,23,24,21
08/08/2020,16,22,18,24,27,24
09/08/2020,17,26,22,24,28,23
10/08/2020,21,35,27,26,28,28
11/08/2020,22,29,26,,33,
12/08/2020,20,25,24,,36,33
13/08/2020,15,33,26,,31,30
14/08/2020,14,16,19,20,25,25
15/08/2020,6,10,10,14,13,12
16/08/2020,9,14,12,15,17,19
17/08/2020,13,14,13,18,,18
18/08/2020,14,15,16,16,,22
19/08/2020,7,17,13,15,10,5
20/08/2020,15,20,17,21,21,
21/08/2020,16,20,17,21,25,8
22/08/2020,14,24,19,21,25,11
23/08/2020,6,7,10,17,13,7
24/08/2020,5,6,11,14,14,2
25/08/2020,8,8,11,15,15,5
26/08/2020,15,30,23,25,27,14
27/08/2020,17,23,23,23,26,15
28/08/2020,13,23,17,20,24,14
29/08/2020,8,30,13,15,20,
30/08/2020,8,,8,14,8,
31/08/2020,,,12,19,13,8
01/09/2020,,8,10,18,10,10
02/09/2020,,11,8,15,10,6
03/09/2020,9,15,11,18,12,6
