Data,BoscoC,Legnago,SBonifacio,BgoMilano,Giarol,GiarolPM25
04/09/2020,15,18,20,26,17,17
05/09/2020,15,24,25,30,28,19
06/09/2020,18,28,24,25,27,20
07/09/2020,7,16,16,15,16,8
08/09/2020,10,11,11,18,14,9
09/09/2020,16,24,22,30,26,17
10/09/2020,17,30,29,34,30,21
11/09/2020,16,19,20,22,21,16
12/09/2020,18,27,24,25,21,14
13/09/2020,17,32,32,26,23,19
14/09/2020,17,29,27,32,25,20
15/09/2020,16,27,24,26,19,
16/09/2020,22,37,32,34,31,23
17/09/2020,14,31,25,28,20,18
18/09/2020,16,26,24,26,22,18
19/09/2020,20,22,21,26,25,16
20/09/2020,21,24,22,30,27,17
21/09/2020,20,23,27,28,29,20
22/09/2020,11,24,18,18,18,17
23/09/2020,7,18,12,15,12,8
24/09/2020,12,22,,23,19,16
25/09/2020,4,2,12,8,6,2
26/09/2020,2,5,6,7,2,2
27/09/2020,5,5,6,9,8,6
28/09/2020,9,11,12,19,11,10
29/09/2020,14,20,22,28,23,12
30/09/2020,27,31,36,41,43,29
01/10/2020,27,52,48,40,46,
02/10/2020,7,43,16,13,24,
03/10/2020,6,5,13,12,5,
04/10/2020,6,15,9,10,11,
05/10/2020,6,7,13,17,9,
06/10/2020,9,16,19,21,14,2
07/10/2020,12,12,18,23,16,7
08/10/2020,6,27,19,25,14,5
09/10/2020,26,59,39,47,33,24
10/10/2020,21,49,56,46,42,30
11/10/2020,2,12,10,8,14,5
12/10/2020,2,12,9,12,9,2
13/10/2020,2,16,15,15,12,5
14/10/2020,9,28,23,23,24,18
15/10/2020,2,10,7,12,16,11
16/10/2020,7,12,13,20,10,8
17/10/2020,16,30,33,36,29,21
18/10/2020,25,39,35,44,34,22
19/10/2020,27,46,42,47,33,31
20/10/2020,27,72,63,60,49,41
21/10/2020,28,62,66,66,46,42
22/10/2020,24,69,77,71,54,47
23/10/2020,15,77,71,79,66,48
24/10/2020,9,57,50,59,53,40
25/10/2020,7,34,26,25,20,8
26/10/2020,6,25,28,14,17,14
27/10/2020,5,11,12,14,2,2
28/10/2020,7,28,24,26,20,10
29/10/2020,10,37,36,36,24,17
30/10/2020,20,52,53,54,48,32
31/10/2020,21,47,58,56,48,36
01/11/2020,15,42,49,50,51,34
02/11/2020,19,,50,46,40,35
03/11/2020,,63,62,60,54,45
04/11/2020,19,79,,73,59,45
05/11/2020,31,17,27,50,36,23
06/11/2020,17,33,30,44,29,21
07/11/2020,9,52,42,45,32,24
08/11/2020,11,39,42,47,37,29
09/11/2020,18,53,51,45,39,29
10/11/2020,16,58,54,56,41,34
11/11/2020,37,25,34,50,,27
12/11/2020,42,34,44,60,48,35
13/11/2020,41,70,69,79,67,52
14/11/2020,37,65,62,63,45,39
15/11/2020,33,54,58,56,48,41
16/11/2020,15,45,48,54,44,38
17/11/2020,5,23,26,28,15,8
18/11/2020,10,26,30,41,34,26
19/11/2020,8,25,29,39,32,31
20/11/2020,7,17,23,25,16,15
21/11/2020,7,16,21,23,8,5
22/11/2020,10,21,29,31,24,17
23/11/2020,22,51,57,57,45,39
24/11/2020,14,57,44,48,36,31
25/11/2020,19,69,50,51,47,34
26/11/2020,19,66,70,73,54,49
27/11/2020,31,64,75,81,70,59
28/11/2020,29,77,83,75,88,73
29/11/2020,33,33,46,48,48,41
30/11/2020,34,28,37,52,42,34
01/12/2020,29,23,28,46,33,25
02/12/2020,4,17,15,21,22,14
03/12/2020,11,30,28,30,31,26
04/12/2020,2,26,22,15,23,21
05/12/2020,2,13,12,9,12,11
06/12/2020,2,14,11,13,9,5
07/12/2020,4,18,17,13,10,7
08/12/2020,2,4,2,8,7,5
09/12/2020,2,11,6,14,7,8
10/12/2020,9,33,27,36,22,20
11/12/2020,11,30,38,36,31,27
12/12/2020,10,42,37,44,33,26
13/12/2020,6,33,34,35,28,28
14/12/2020,7,28,32,59,36,32
15/12/2020,9,50,52,78,61,53
16/12/2020,12,63,63,73,56,51
17/12/2020,23,56,56,67,52,41
18/12/2020,15,58,52,44,45,36
19/12/2020,15,67,60,54,51,44
20/12/2020,33,68,54,38,49,46
21/12/2020,29,43,49,45,43,39
22/12/2020,21,52,59,59,56,47
23/12/2020,21,69,67,61,60,48
24/12/2020,2,51,32,44,46,43
25/12/2020,2,15,15,15,10,10
26/12/2020,2,10,18,13,6,6
27/12/2020,2,19,22,24,17,16
28/12/2020,2,15,12,15,14,
29/12/2020,7,30,21,31,25,25
30/12/2020,8,56,49,44,42,38
31/12/2020,8,55,43,52,39,37
